"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7003","@Web - Screenshot & Visual comparision Validation","chromium","2026-06-23","passed","2026-06-23","","MoreValidations.spec.js","",""
"","30071","@API - Validate Blank Orders","chromium","2026-06-23","broken","2026-06-23","","WebAPIPart2.spec.js","",""
"","6373","@API - Security test request intercept","chromium","2026-06-23","passed","2026-06-23","","WebAPIPart3.spec.js","",""
"","4615","@Web - Validate Registration","chromium","2026-06-23","passed","2026-06-23","","ClientRegister.spec.js","",""
"","5341","@Web - Child windows handle","chromium","2026-06-23","passed","2026-06-23","","UIBasicstest.spec.js","",""
"","921","@Web - Validate website has title","chromium","2026-06-23","passed","2026-06-23","","Example_Test.spec.js","",""
"","7883","@Web - Validate Login till country selection","chromium","2026-06-23","passed","2026-06-23","","ClientRegister.spec.js","",""
"","10073","@Web - Client App login","chromium","2026-06-23","passed","2026-06-23","","WebLoginTest2.spec.js","",""
"","5717","@Web - Verify whether user sees error message upon incorrect credentials","chromium","2026-06-23","passed","2026-06-23","","Login.spec.js","",""
"","10925","@Web - Browser Context-Validating Error login","chromium","2026-06-23","passed","2026-06-23","","UIBasicstest.spec.js","",""
"","5311","@excel - Upload and download excel validation","chromium","2026-06-23","passed","2026-06-23","","Upload-DownloadExcel.spec.js","",""
"","7249","@Web - Alert validation","chromium","2026-06-23","passed","2026-06-23","","MoreValidations.spec.js","",""
"","6585","@Web - Client App login","chromium","2026-06-23","passed","2026-06-23","","WebLoginTest1.spec.js","",""
"","4811","@Web - UI Controls","chromium","2026-06-23","passed","2026-06-23","","UIBasicstest.spec.js","",""
"","10870","@Web - Validate whether order is placed successfully","chromium","2026-06-23","passed","2026-06-23","","ClientApp.spec.js","",""
"","4242","@API - Place the order","chromium","2026-06-23","passed","2026-06-23","","WebAPIPart1.spec.js","",""
"","9832","@Web - Validate the login and order placement for ZARA COAT 3","chromium","2026-06-23","passed","2026-06-23","","ClientAppPOM.spec.js","",""
"","7797","@Web - Validate Login and order placement","chromium","2026-06-23","passed","2026-06-23","","ClientAppPOM.spec.js","",""
"","4459","@Web - visual validation","chromium","2026-06-23","passed","2026-06-23","","MoreValidations.spec.js","",""
"","1255","@Web - Browser Based Test - Facebook Login Test","chromium","2026-06-23","passed","2026-06-23","","Login.spec.js","",""
"","1366","@Web - Validate get started link","chromium","2026-06-23","passed","2026-06-23","","Example_Test.spec.js","",""
"","5695","@excel - Validate Upload and download using excel","chromium","2026-06-23","passed","2026-06-23","","Excel.spec.js","",""
"","5203","@Web -Playwright Special locators","chromium","2026-06-23","passed","2026-06-23","","SpecialLocators.spec.js","",""
